node,closeness_cent
1,0.5689655172413793
2,0.4852941176470588
3,0.559322033898305
4,0.4647887323943662
5,0.3793103448275862
6,0.38372093023255816
7,0.38372093023255816
8,0.44
9,0.515625
10,0.4342105263157895
11,0.3793103448275862
12,0.36666666666666664
13,0.3707865168539326
14,0.515625
15,0.3707865168539326
16,0.3707865168539326
17,0.28448275862068967
18,0.375
19,0.3707865168539326
20,0.5
21,0.3707865168539326
22,0.375
23,0.3707865168539326
24,0.39285714285714285
25,0.375
26,0.375
27,0.3626373626373626
28,0.4583333333333333
29,0.4520547945205479
30,0.38372093023255816
31,0.4583333333333333
32,0.5409836065573771
33,0.515625
34,0.55
