209,1
636,1
673,1
982,1
1394,1
2162,1
2521,1
2534,1
2573,1
2896,1
3020,1
3534,1
3716,1
3964,1
4153,1
4865,1
5066,1
5256,1
5544,1
5702,1
6622,1
6986,1
8323,1
8367,1
8380,1
8433,1
8532,1
9064,1
9157,1
9364,1
9855,1
10411,1
10486,1
10958,1
664,2
1118,2
1172,2
1453,2
1630,2
2161,2
2609,2
3019,2
3185,2
3361,2
3369,2
3545,2
3633,2
4459,2
4672,2
5218,2
5543,2
5706,2
5793,2
5838,2
6055,2
6379,2
6439,2
7119,2
7695,2
8076,2
8176,2
8435,2
8675,2
9328,2
9713,2
9765,2
10050,2
10424,2
678,3
5072,3
5215,3
7118,3
7681,3
7845,3
8085,3
9186,3
920,4
5257,4
7842,4
8422,4
9962,4
208,5
984,5
1631,5
2009,5
3096,5
3185,5
3349,5
4344,5
4691,5
4923,5
5114,5
5217,5
5788,5
6168,5
6592,5
7072,5
7682,5
8023,5
8025,5
8026,5
8077,5
8363,5
8529,5
9758,5
10036,5
10043,5
10050,5
10737,5
1397,6
2010,6
2351,6
3348,6
4591,6
5117,6
5216,6
5259,6
8084,6
9858,6
10048,6
372,7
376,7
796,7
985,7
986,7
1073,7
1123,7
1124,7
1177,7
1178,7
1452,7
1632,7
2015,7
2106,7
2139,7
2350,7
2694,7
3098,7
3279,7
3512,7
3595,7
3632,7
3992,7
4272,7
4273,7
4526,7
4589,7
4635,7
4656,7
4706,7
4862,7
4891,7
4927,7
5069,7
5104,7
5111,7
5116,7
5416,7
5541,7
5708,7
5709,7
5787,7
5839,7
5840,7
6128,7
6227,7
6231,7
6440,7
6590,7
6686,7
7073,7
7074,7
7102,7
7115,7
7116,7
7212,7
7226,7
7348,7
7349,7
7404,7
7471,7
7472,7
7629,7
7676,7
7841,7
7999,7
8080,7
8083,7
8175,7
8308,7
8311,7
8386,7
8392,7
8424,7
8502,7
8527,7
8530,7
8571,7
8678,7
9065,7
9066,7
9191,7
9327,7
9637,7
9760,7
9761,7
9951,7
9958,7
10037,7
10094,7
10618,7
10631,7
376,8
795,8
878,8
1122,8
1178,8
1384,8
1633,8
2016,8
2140,8
2350,8
2622,8
2993,8
3085,8
3097,8
3277,8
3631,8
3642,8
3893,8
4525,8
4589,8
4590,8
4635,8
4654,8
4705,8
4834,8
4861,8
4891,8
4927,8
5068,8
5105,8
5435,8
5708,8
6311,8
6591,8
6667,8
7115,8
7212,8
7349,8
7479,8
7624,8
7676,8
7690,8
7838,8
7998,8
7999,8
8169,8
8310,8
8386,8
8424,8
8528,8
8678,8
8991,8
9067,8
9191,8
9651,8
9761,8
9952,8
10619,8
10638,8
4494,9
5168,9
7627,9
5110,10
5167,10
5785,10
7630,10
8309,10
8391,10
8679,10
10632,10
163,11
187,11
597,11
1484,11
1589,11
1603,11
1783,11
2033,11
2288,11
2859,11
2941,11
2950,11
2983,11
3198,11
3554,11
3836,11
4223,11
4330,11
4331,11
4537,11
4665,11
4710,11
4711,11
5080,11
5346,11
5720,11
5907,11
5987,11
6418,11
6982,11
7284,11
7338,11
8334,11
8549,11
9356,11
9377,11
9425,11
9474,11
9475,11
9681,11
9921,11
10132,11
10528,11
10532,11
10782,11
10787,11
314,12
587,12
1162,12
1482,12
1592,12
1602,12
1782,12
1791,12
2032,12
2282,12
3057,12
3835,12
4012,12
4335,12
4667,12
5227,12
5480,12
5827,12
5991,12
6416,12
7048,12
7282,12
7305,12
7315,12
7341,12
8059,12
8067,12
8462,12
8555,12
8884,12
8934,12
9016,12
9361,12
9614,12
9919,12
9930,12
10131,12
10788,12
204,13
319,13
590,13
591,13
1164,13
1609,13
1792,13
1794,13
2023,13
2046,13
2299,13
3700,13
3879,13
4007,13
4350,13
4696,13
6177,13
6903,13
8466,13
8728,13
8729,13
9471,13
9905,13
1481,14
2025,14
2935,14
4668,14
9950,14
10776,14
1606,15
2026,15
3876,15
4642,15
